d,f,c,thre_inc,n_modes,svm_acc,svm_std,lda_acc,lda_std
0,0,1,15,4,0.8866,0.0127,0.8338,0.0252
0,0,1,20,4,0.8963,0.0113,0.8616,0.0164
0,0,1,30,4,0.9052,0.0097,0.8726,0.0222
0,0,1,40,4,0.9058,0.0141,0.8835,0.0209
0,0,1,50,4,0.9116,0.0136,0.8899,0.0198
0,0,1,15,8,0.9122,0.0113,0.8741,0.0206
0,0,1,20,8,0.9159,0.0146,0.8869,0.0119
0,0,1,30,8,0.9262,0.0138,0.8973,0.0144
0,0,1,40,8,0.9183,0.0167,0.9030,0.0145
0,0,1,50,8,0.9204,0.0155,0.9040,0.0139
0,0,1,15,12,0.9155,0.0134,0.8835,0.0173
0,0,1,20,12,0.9192,0.0146,0.8838,0.0199
0,0,1,30,12,0.9271,0.0143,0.9030,0.0147
0,0,1,40,12,0.9250,0.0123,0.9055,0.0116
0,0,1,50,12,0.9259,0.0092,0.9085,0.0151
0,0,1,15,16,0.9186,0.0100,0.8787,0.0206
0,0,1,20,16,0.9265,0.0104,0.8985,0.0148
0,0,1,30,16,0.9305,0.0104,0.9058,0.0135
0,0,1,40,16,0.9293,0.0079,0.9113,0.0119
0,0,1,50,16,0.9299,0.0165,0.9116,0.0123
0,0,1,15,20,0.9128,0.0126,0.8869,0.0177
0,0,1,20,20,0.9241,0.0187,0.8963,0.0139
0,0,1,30,20,0.9284,0.0158,0.9018,0.0128
